iter	Logloss
0	0.6757938135
1	0.6615238518
2	0.644875804
3	0.6318954677
4	0.6207863554
5	0.6087015042
6	0.5951817891
7	0.5843441755
8	0.5742433736
9	0.5647240893
10	0.5565432996
11	0.5482902755
12	0.5389134337
13	0.5324498031
14	0.5257758447
15	0.5191271676
16	0.5131445532
17	0.5077351891
18	0.5035067657
19	0.4971654902
20	0.4929166477
21	0.486378289
22	0.4835798458
23	0.4801388872
24	0.4770361876
25	0.4732701571
26	0.470105318
27	0.466569686
28	0.4640933143
29	0.4614528529
30	0.4589705554
31	0.4564326574
32	0.4544009291
33	0.4521753149
34	0.4501588393
35	0.4459739798
36	0.4435987256
37	0.4413528638
38	0.439674882
39	0.437102231
40	0.4349699399
41	0.4332752478
42	0.431485028
43	0.4297275059
44	0.4278339715
45	0.4249981082
46	0.4230201865
47	0.4217109642
48	0.4204163656
49	0.4190845098
50	0.4179290081
51	0.41686651
52	0.4156108404
53	0.4143484475
54	0.4135026066
55	0.4125232393
56	0.411275531
57	0.4099490708
58	0.4089431647
59	0.408071904
60	0.4073083856
61	0.4066181018
62	0.4058498138
63	0.404780988
64	0.4037253163
65	0.4024176759
66	0.4018683548
67	0.400994782
68	0.4002771211
69	0.3992073286
70	0.3976648877
71	0.3969536615
72	0.3964284416
73	0.3954431278
74	0.3948240597
75	0.3929675264
76	0.3921640849
77	0.3914601495
78	0.3908528046
79	0.3902162635
80	0.389364841
81	0.3886518357
82	0.3881150669
83	0.3875915812
84	0.3870800501
85	0.3863059559
86	0.3856946708
87	0.3852327136
88	0.3846302516
89	0.382921778
90	0.3824944069
91	0.3818560262
92	0.3803431593
93	0.3797474858
94	0.3792450402
95	0.3787039058
96	0.3770303838
97	0.3766909879
98	0.3764159553
99	0.3759254557
100	0.3753634045
101	0.3746292699
102	0.3741017885
103	0.3736500899
104	0.3731409434
105	0.3724816513
106	0.3719663114
107	0.3712543395
108	0.3708309186
109	0.3701475107
110	0.3696041414
111	0.3692477082
112	0.3688146463
113	0.3684662063
114	0.3681158984
115	0.3676145294
116	0.3673440478
117	0.3669320843
118	0.3666120754
119	0.366333111
120	0.3660349156
121	0.36575089
122	0.3653898076
123	0.3648671343
124	0.3645292848
125	0.3641639804
126	0.3637642795
127	0.363515456
128	0.3631353442
129	0.3627585465
130	0.3622933183
131	0.3620375001
132	0.3616553223
133	0.3613919168
134	0.3604720784
135	0.360020176
136	0.3593678397
137	0.35908203
138	0.3584995346
139	0.3581888843
140	0.3579706636
141	0.3574349917
142	0.3561919218
143	0.3558379377
144	0.3555296459
145	0.3552818995
146	0.3548361435
147	0.3545519174
148	0.3543024108
149	0.3538045891
150	0.3532375111
151	0.3530066057
152	0.3528621766
153	0.3525542074
154	0.3523013822
155	0.3519579808
156	0.3517508731
157	0.3513882903
158	0.3510270879
159	0.350730257
160	0.3505003347
161	0.3499953073
162	0.3492435646
163	0.3490840945
164	0.3488280884
165	0.3485838772
166	0.3483192399
167	0.3480546135
168	0.3478054431
169	0.3475262722
170	0.3472291745
171	0.3468019835
172	0.3465671271
173	0.3463516083
174	0.3461224121
175	0.3458016192
176	0.3456060639
177	0.3453559246
178	0.3450952745
179	0.3447918487
180	0.3446466691
181	0.3444295224
182	0.3441955841
183	0.343989798
184	0.343679064
185	0.3434508651
186	0.34327607
187	0.3429729709
188	0.3423288928
189	0.342131577
190	0.3419102997
191	0.3417244859
192	0.3411579714
193	0.3410497642
194	0.3408826982
195	0.3407237075
196	0.3405410043
197	0.3403857572
198	0.3402334484
199	0.3398409425
200	0.3394205714
201	0.3392118275
202	0.3390123982
203	0.3389037661
204	0.3386388215
205	0.3384326878
206	0.3381488418
207	0.3378164365
208	0.3374730247
209	0.337187944
210	0.3369152111
211	0.3365666605
212	0.3363822005
213	0.3360190538
214	0.3359363573
215	0.3357803977
216	0.3355972497
217	0.3352666499
218	0.3349284912
219	0.334620801
220	0.3344029724
221	0.3342559194
222	0.3340959695
223	0.3337948575
224	0.3336662243
225	0.333452094
226	0.3332300557
227	0.3331383018
228	0.3328620523
229	0.3326332916
230	0.3323416759
231	0.3322167864
